From Country,To Country,Year,Jury or Televoting,Points,Source
Spain,Norway,1976,J,0,http://datagraver.com/
Andorra,Monaco,2004,J,4,http://datagraver.com/
Ireland,Azerbaijan,2010,J,3,http://datagraver.com/
Germany,Austria,1978,J,1,http://datagraver.com/
Latvia,United Kingdom,2001,J,3,http://datagraver.com/
Luxembourg,France,1989,J,8,http://datagraver.com/
Azerbaijan,Romania,2019,J,8,http://datagraver.com/
Romania,San Marino,2019,J,0,http://datagraver.com/
Portugal,United Kingdom,1991,J,1,http://datagraver.com/
Austria,Israel,2019,J,0,http://datagraver.com/
Israel,Romania,2010,J,8,http://datagraver.com/
Belgium,Malta,2003,J,0,http://datagraver.com/
Germany,Ireland,1975,J,0,http://datagraver.com/
Portugal,Italy,1976,J,10,http://datagraver.com/
Romania,Bulgaria,2005,J,0,http://datagraver.com/
Finland,Yugoslavia,1976,J,0,http://datagraver.com/
Ireland,France,1986,J,0,http://datagraver.com/
Luxembourg,Cyprus,1981,J,0,http://datagraver.com/
Albania,Latvia,2019,J,0,http://datagraver.com/
F.Y.R. Macedonia,Lithuania,2012,J,0,http://datagraver.com/
Italy,Italy,1975,J,0,http://datagraver.com/
Germany,Denmark,2005,J,5,http://datagraver.com/
Belgium,Iceland,2018,J,1,http://datagraver.com/
Greece,Luxembourg,1977,J,0,http://datagraver.com/
Sweden,Austria,1999,J,7,http://datagraver.com/
Israel,Italy,1991,J,3,http://datagraver.com/
Finland,Germany,2019,J,0,http://datagraver.com/
Israel,Norway,1975,J,0,http://datagraver.com/
Germany,Germany,1975,J,0,http://datagraver.com/
Georgia,Iceland,2019,T,3,http://datagraver.com/
Poland,Portugal,1994,J,1,http://datagraver.com/
Norway,Spain,1976,J,0,http://datagraver.com/
Belgium,Finland,2018,J,0,http://datagraver.com/
Sweden,Estonia,2006,J,8,http://datagraver.com/
Finland,Spain,2019,J,0,http://datagraver.com/
Norway,Sweden,2019,J,12,http://datagraver.com/
Belgium,Belgium,1975,J,0,http://datagraver.com/
Austria,Denmark,1991,J,0,http://datagraver.com/
Finland,Norway,1976,J,0,http://datagraver.com/
Slovenia,Belarus,2005,J,0,http://datagraver.com/
Lithuania,Greece,2002,J,0,http://datagraver.com/
Armenia,Norway,2019,J,0,http://datagraver.com/
United Kingdom,Spain,1985,J,4,http://datagraver.com/
Lithuania,Denmark,2019,T,3,http://datagraver.com/
Estonia,Portugal,2001,J,0,http://datagraver.com/
Finland,Belgium,1976,J,12,http://datagraver.com/
Norway,Portugal,1996,J,12,http://datagraver.com/
Luxembourg,Spain,1978,J,2,http://datagraver.com/
Georgia,Germany,2019,T,0,http://datagraver.com/
Norway,San Marino,2019,T,0,http://datagraver.com/
Portugal,Moldova,2018,J,0,http://datagraver.com/
Hungary,San Marino,2019,T,12,http://datagraver.com/
Belarus,France,2019,J,0,http://datagraver.com/
United Kingdom,United Kingdom,1979,J,0,http://datagraver.com/
Austria,Iceland,2018,J,0,http://datagraver.com/
Belgium,Malta,2019,J,0,http://datagraver.com/
Iceland,Finland,2017,T,3,http://datagraver.com/
Spain,The Netherlands,1975,J,12,http://datagraver.com/
Belgium,Malta,2002,J,7,http://datagraver.com/
Finland,France,1976,J,3,http://datagraver.com/
Latvia,United Kingdom,2019,T,0,http://datagraver.com/
Switzerland,Germany,1982,J,12,http://datagraver.com/
Finland,Israel,1982,J,12,http://datagraver.com/
Italy,Cyprus,1990,J,4,http://datagraver.com/
Denmark,Denmark,1983,J,0,http://datagraver.com/
Finland,Finland,1975,J,0,http://datagraver.com/
Norway,Ireland,2018,T,0,http://datagraver.com/
Monaco,France,1976,J,12,http://datagraver.com/
Italy,Norway,2019,J,0,http://datagraver.com/
Ireland,Israel,2019,J,0,http://datagraver.com/
The Netherlands,France,1975,J,8,http://datagraver.com/
France,United Kingdom,1977,J,12,http://datagraver.com/
Germany,France,1990,J,10,http://datagraver.com/
Montenegro,Norway,2018,J,7,http://datagraver.com/
United Kingdom,Norway,2007,J,0,http://datagraver.com/
Italy,Portugal,1983,J,0,http://datagraver.com/
Belgium,Israel,1975,J,1,http://datagraver.com/
Slovenia,Spain,1993,J,2,http://datagraver.com/
Belgium,Switzerland,2019,T,5,http://datagraver.com/
Austria,Switzerland,2019,J,10,http://datagraver.com/
Belgium,Switzerland,1983,J,1,http://datagraver.com/
Romania,Finland,2018,J,0,http://datagraver.com/
Luxembourg,France,1980,J,2,http://datagraver.com/
North Macedonia,Denmark,2019,J,0,http://datagraver.com/
Latvia,Italy,2019,T,3,http://datagraver.com/
Belgium,The Netherlands,1999,J,12,http://datagraver.com/
Poland,The Netherlands,1997,J,0,http://datagraver.com/
Finland,Ireland,1998,J,0,http://datagraver.com/
Luxembourg,Greece,1977,J,6,http://datagraver.com/
The Netherlands,Belgium,1978,J,5,http://datagraver.com/
Switzerland,Iceland,1991,J,4,http://datagraver.com/
Poland,Belgium,2006,J,4,http://datagraver.com/
Luxembourg,Yugoslavia,1975,J,0,http://datagraver.com/
Yugoslavia,Norway,1975,J,0,http://datagraver.com/
Russia,Cyprus,2019,T,0,http://datagraver.com/
Belgium,Monaco,1978,J,6,http://datagraver.com/
Germany,Cyprus,1999,J,0,http://datagraver.com/
Albania,The Netherlands,2019,J,0,http://datagraver.com/
Ireland,Belgium,1981,J,0,http://datagraver.com/
Slovakia,The Netherlands,1998,J,6,http://datagraver.com/
Ireland,Russia,1994,J,4,http://datagraver.com/
Germany,Portugal,1979,J,4,http://datagraver.com/
Malta,Monaco,1975,J,1,http://datagraver.com/
Portugal,F.Y.R. Macedonia,2018,J,0,http://datagraver.com/
Israel,Poland,2019,T,2,http://datagraver.com/
Denmark,Germany,1991,J,6,http://datagraver.com/
France,Luxembourg,1978,J,0,http://datagraver.com/
France,Sweden,1978,J,3,http://datagraver.com/
Poland,Czech Republic,2019,T,1,http://datagraver.com/
Ireland,Serbia,2007,J,8,http://datagraver.com/
Switzerland,Yugoslavia,1975,J,0,http://datagraver.com/
Sweden,France,1983,J,0,http://datagraver.com/
Cyprus,Estonia,2018,T,4,http://datagraver.com/
Austria,Switzerland,1996,J,0,http://datagraver.com/
Sweden,United Kingdom,1977,J,8,http://datagraver.com/
Finland,Croatia,1994,J,0,http://datagraver.com/
France,Sweden,2019,T,0,http://datagraver.com/
Finland,Israel,1979,J,12,http://datagraver.com/
Monaco,Turkey,1978,J,0,http://datagraver.com/
Italy,Switzerland,1978,J,1,http://datagraver.com/
