,Source.Id,Source.Identifier,Source.Gender,Source.Credits.Position,Source.Type,Destination.Id,Destination.Identifier,Destination.Year.Released,Destination.IMDB.Rating,Destination.IMDB.VoteCount,Destination.Genres,Destination.Script,Destination.Type,Transaction.Id,Transaction.Type
0,u0,BIANCA,f,4,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304714,Correlation
1,u1,BRUCE,?,?,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304715,Correlation
2,u2,CAMERON,m,3,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304716,Correlation
3,u3,CHASTITY,?,?,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304717,Correlation
4,u4,JOEY,m,6,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304718,Correlation
5,u5,KAT,f,2,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304719,Correlation
6,u6,MANDELLA,f,7,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304720,Correlation
7,u7,MICHAEL,m,5,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304721,Correlation
8,u8,MISS PERKY,?,?,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304722,Correlation
9,u9,PATRICK,m,1,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304723,Correlation
10,u10,SHARON,?,?,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304724,Correlation
11,u11,WALTER,m,9,Person,m0,10 things i hate about you,1999,6.90,62847,"['comedy', 'romance']",http://www.dailyscript.com/scripts/10Things.html,Document,304725,Correlation
12,u12,ALONSO,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304726,Correlation
13,u13,AROJAZ,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304727,Correlation
14,u14,BEATRIX,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304728,Correlation
15,u15,BOBADILLA,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304729,Correlation
16,u16,COLUMBUS,m,1,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304730,Correlation
17,u17,FERNANDO,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304731,Correlation
18,u18,ISABEL,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304732,Correlation
19,u19,MARCHENA,m,6,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304733,Correlation
20,u20,MENDEZ,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304734,Correlation
21,u21,MOXICA,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304735,Correlation
22,u22,PINZON,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304736,Correlation
23,u23,SAILOR,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304737,Correlation
24,u24,SANCHEZ,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304738,Correlation
25,u25,UTAPAN,?,?,Person,m1,1492: conquest of paradise,1992,6.20,10421,"['adventure', 'biography', 'drama', 'history']",http://www.hundland.org/scripts/1492-ConquestOfParadise.txt,Document,304739,Correlation
26,u26,CUTLER,m,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304740,Correlation
27,u27,DAPHNE,f,8,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304741,Correlation
28,u28,DUFFY,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304742,Correlation
29,u29,EDDIE,m,1,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304743,Correlation
30,u30,EMIL,m,6,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304744,Correlation
31,u31,HAWKINS,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304745,Correlation
32,u32,HONEY,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304746,Correlation
33,u33,IMMIGRATION OFFICER,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304747,Correlation
34,u34,JORDY,m,2,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304748,Correlation
35,u35,KORFIN,m,9,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304749,Correlation
36,u36,LEON,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304750,Correlation
37,u37,MAGGIE,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304751,Correlation
38,u38,MAX,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304752,Correlation
39,u39,MILOS,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304753,Correlation
40,u40,MUGGER,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304754,Correlation
41,u41,NICOLETTE,f,5,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304755,Correlation
42,u42,OLEG,m,7,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304756,Correlation
43,u43,ROBERT HAWKINS,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304757,Correlation
44,u44,ROSE,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304758,Correlation
45,u45,SECONDARY OFFICER,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304759,Correlation
46,u46,STEPHEN GELLER,?,?,Person,m2,15 minutes,2001,6.10,25854,"['action', 'crime', 'drama', 'thriller']",http://www.dailyscript.com/scripts/15minutes.html,Document,304760,Correlation
